iter	Passed	Remaining
0	183	183472
1	213	10655622	245	8148733	270	6741444	307	6121855	335	5561666	369	52458
7	400	4965588	428	47224
9	453	44908
10	487	43866
11	520	42864
12	553	42033
13	571	40253
14	595	39079
15	619	38108
16	646	37410
17	676	36881
18	711	36737
19	739	36224
20	769	35889
21	799	35535
22	832	35346
23	854	34749
24	880	34331
25	901	33777
26	925	33346
27	945	32829
28	978	32770
29	999	32322
30	1021	31935
31	1049	31750
32	1082	31715
33	1107	31478
34	1140	31445
35	1173	31422
36	1203	31333
37	1228	31106
38	1253	30899
39	1284	30820
40	1308	30615
41	1338	30534
42	1366	30405
43	1393	30276
44	1426	30273
45	1455	30183
46	1484	30100
47	1516	30076
48	1546	30016
49	1580	30022
50	1607	29916
51	1640	29910
52	1669	29828
53	1697	29731
54	1720	29555
55	1745	29432
56	1780	29462
57	1809	29395
58	1837	29306
59	1869	29282
60	1893	29147
61	1930	29205
62	1964	29218
63	1987	29073
64	2018	29042
65	2044	28932
66	2073	28881
67	2104	28844
68	2127	28710
69	2151	28588
70	2175	28461
71	2199	28349
72	2223	28229
73	2253	28195
74	2279	28114
75	2318	28183
76	2365	28350
77	2402	28403
78	2437	28411
79	2474	28458
80	2503	28404
81	2526	28283
82	2557	28261
83	2587	28211
84	2615	28153
85	2642	28079
86	2665	27970
87	2690	27883
88	2716	27808
89	2745	27758
90	2769	27662
91	2799	27625
92	2824	27548
93	2849	27460
94	2870	27349
95	2903	27339
96	2929	27267
97	2950	27156
98	2977	27097
99	3006	27058
100	3037	27033
101	3068	27014
102	3103	27025
103	3137	27027
104	3164	26976
105	3188	26889
106	3207	26768
107	3239	26754
108	3265	26692
109	3289	26611
110	3309	26504
111	3338	26472
112	3372	26472
113	3400	26429
114	3427	26374
115	3456	26344
116	3480	26265
117	3506	26211
118	3531	26148
119	3555	26072
120	3580	26007
121	3613	26001
122	3637	25937
123	3667	25910
124	3699	25899
125	3725	25840
126	3754	25811
127	3777	25734
128	3799	25655
129	3822	25582
130	3855	25576
131	3882	25532
132	3916	25529
133	3945	25496
134	3971	25448
135	3995	25383
136	4018	25316
137	4047	25283
138	4069	25210
139	4096	25166
140	4126	25139
141	4155	25107
142	4180	25051
143	4206	25007
144	4231	24953
145	4254	24884
146	4274	24803
147	4301	24765
148	4327	24716
149	4348	24641
150	4379	24624
151	4406	24581
152	4436	24559
153	4459	24500
154	4477	24409
155	4501	24354
156	4533	24343
157	4555	24274
158	4580	24226
159	4604	24176
160	4633	24147
161	4662	24116
162	4691	24090
163	4718	24054
164	4747	24022
165	4780	24017
166	4804	23964
167	4833	23934
168	4872	23958
169	4909	23971
170	4942	23962
171	4969	23924
172	5001	23908
173	5038	23916
174	5064	23874
175	5092	23843
176	5120	23809
177	5155	23806
178	5178	23750
179	5211	23741
180	5238	23701
181	5262	23651
182	5286	23602
183	5310	23553
184	5336	23508
185	5364	23478
186	5387	23424
187	5418	23404
188	5448	23377
189	5481	23366
190	5506	23322
191	5539	23311
192	5567	23277
193	5593	23237
194	5630	23243
195	5657	23207
196	5686	23177
197	5708	23123
198	5728	23057
199	5760	23043
200	5785	22998
201	5809	22950
202	5840	22929
203	5864	22882
204	5891	22848
205	5924	22835
206	5946	22780
207	5973	22745
208	6000	22709
209	6030	22684
210	6053	22635
211	6077	22590
212	6109	22572
213	6139	22548
214	6162	22498
215	6183	22442
216	6206	22393
217	6235	22366
218	6258	22318
219	6280	22268
220	6303	22217
221	6325	22166
222	6352	22133
223	6382	22110
224	6402	22054
225	6433	22032
226	6466	22021
227	6498	22005
228	6528	21980
229	6553	21939
230	6575	21888
231	6608	21875
232	6634	21839
233	6660	21803
234	6685	21762
235	6706	21711
236	6735	21684
237	6764	21658
238	6785	21606
239	6817	21589
240	6844	21557
241	6871	21522
242	6895	21481
243	6925	21456
244	6948	21414
245	6976	21383
246	7002	21349
247	7031	21320
248	7054	21277
249	7081	21245
250	7102	21193
251	7132	21170
252	7159	21139
253	7181	21092
254	7208	21060
255	7232	21020
256	7259	20988
257	7282	20944
258	7314	20925
259	7347	20911
260	7392	20930
261	7425	20917
262	7446	20867
263	7466	20817
264	7492	20780
265	7525	20766
266	7563	20764
267	7588	20726
268	7621	20712
269	7652	20690
270	7686	20676
271	7714	20646
272	7736	20602
273	7769	20586
274	7804	20576
275	7845	20581
276	7877	20561
277	7913	20551
278	7944	20530
279	7972	20501
280	7991	20447
281	8020	20421
282	8044	20382
283	8069	20343
284	8102	20327
285	8131	20300
286	8160	20274
287	8193	20255
288	8227	20241
289	8264	20233
290	8295	20212
291	8323	20180
292	8350	20148
293	8381	20126
294	8415	20112
295	8453	20104
296	8485	20084
297	8512	20052
298	8539	20021
299	8566	19988
300	8587	19943
301	8610	19900
302	8647	19892
303	8676	19864
304	8713	19854
305	8743	19830
306	8780	19820
307	8821	19818
308	8848	19788
309	8882	19769
310	8914	19748
311	8948	19733
312	8979	19709
313	9017	19700
314	9044	19667
315	9077	19648
316	9110	19628
317	9132	19586
318	9163	19561
319	9192	19534
320	9221	19506
321	9262	19502
322	9286	19465
323	9317	19440
324	9346	19412
325	9373	19378
326	9396	19339
327	9429	19319
328	9453	19280
329	9474	19235
330	9495	19192
331	9520	19156
332	9558	19145
333	9587	19117
334	9624	19106
335	9662	19094
336	9703	19090
337	9734	19064
338	9759	19029
339	9792	19009
340	9822	18982
341	9850	18951
342	9879	18923
343	9917	18911
344	9948	18887
345	9971	18847
346	9995	18809
347	10022	18778
348	10047	18742
349	10078	18717
350	10107	18689
351	10149	18683
352	10174	18648
353	10205	18624
354	10233	18592
355	10279	18595
356	10311	18571
357	10337	18538
358	10363	18504
359	10393	18477
360	10428	18459
361	10459	18434
362	10491	18410
363	10515	18373
364	10545	18346
365	10575	18318
366	10598	18280
367	10623	18243
368	10654	18218
369	10681	18187
370	10716	18169
371	10753	18154
372	10789	18136
373	10826	18122
374	10855	18092
375	10887	18068
376	10906	18022
377	10938	17999
378	10964	17965
379	10986	17925
380	11016	17898
381	11043	17865
382	11068	17831
383	11095	17799
384	11121	17766
385	11150	17737
386	11188	17721
387	11221	17699
388	11253	17676
389	11286	17653
390	11310	17616
391	11341	17590
392	11368	17558
393	11391	17520
394	11413	17481
395	11445	17457
396	11476	17431
397	11506	17404
398	11535	17375
399	11572	17358
400	11610	17342
401	11645	17324
402	11680	17304
403	11709	17273
404	11728	17230
405	11752	17194
406	11779	17162
407	11806	17130
408	11833	17099
409	11861	17069
410	11899	17052
411	11927	17023
412	11961	17000
413	11990	16972
414	12011	16931
415	12044	16908
416	12075	16882
417	12107	16857
418	12129	16818
419	12153	16784
420	12183	16756
421	12212	16726
422	12245	16703
423	12270	16669
424	12300	16642
425	12322	16604
426	12347	16569
427	12375	16539
428	12413	16522
429	12439	16489
430	12465	16456
431	12502	16438
432	12531	16409
433	12561	16382
434	12588	16350
435	12624	16330
436	12650	16297
437	12678	16267
438	12709	16241
439	12734	16207
440	12757	16171
441	12786	16142
442	12811	16107
443	12833	16070
444	12855	16033
445	12893	16015
446	12925	15990
447	12946	15951
448	12968	15914
449	12994	15882
450	13024	15854
451	13056	15830
452	13082	15797
453	13107	15763
454	13133	15730
455	13163	15703
456	13187	15668
457	13210	15632
458	13241	15607
459	13273	15582
460	13302	15553
461	13330	15523
462	13357	15492
463	13379	15455
464	13403	15420
465	13433	15393
466	13459	15362
467	13483	15327
468	13513	15299
469	13539	15267
470	13566	15236
471	13588	15200
472	13609	15162
473	13632	15128
474	13656	15094
475	13681	15061
476	13705	15027
477	13732	14996
478	13764	14971
479	13788	14937
480	13810	14901
481	13834	14867
482	13854	14829
483	13881	14799
484	13907	14768
485	13938	14741
486	13964	14709
487	13995	14683
488	14026	14657
489	14049	14623
490	14071	14587
491	14098	14557
492	14127	14528
493	14149	14493
494	14172	14458
495	14200	14429
496	14232	14403
497	14261	14376
498	14286	14344
499	14310	14310
500	14343	14285
501	14365	14250
502	14387	14215
503	14418	14189
504	14444	14158
505	14476	14133
506	14507	14107
507	14538	14080
508	14561	14046
509	14586	14014
510	14618	13989
511	14645	13959
512	14677	13934
513	14704	13903
514	14735	13877
515	14764	13848
516	14791	13818
517	14814	13784
518	14841	13754
519	14874	13730
520	14904	13702
521	14926	13668
522	14951	13636
523	14980	13608
524	15012	13582
525	15051	13563
526	15077	13532
527	15109	13507
528	15149	13488
529	15183	13464
530	15209	13433
531	15235	13402
532	15259	13369
533	15285	13339
534	15315	13311
535	15338	13278
536	15368	13250
537	15391	13217
538	15417	13186
539	15440	13152
540	15468	13123
541	15488	13087
542	15516	13058
543	15537	13024
544	15564	12994
545	15590	12963
546	15617	12933
547	15642	12902
548	15676	12877
549	15703	12848
550	15734	12821
551	15770	12799
552	15798	12769
553	15824	12739
554	15851	12709
555	15873	12675
556	15902	12648
557	15928	12617
558	15962	12592
559	15994	12567
560	16016	12533
561	16040	12501
562	16067	12471
563	16092	12440
564	16121	12411
565	16145	12379
566	16173	12351
567	16194	12316
568	16219	12285
569	16243	12253
570	16267	12222
571	16293	12191
572	16314	12157
573	16337	12125
574	16364	12095
575	16392	12067
576	16416	12034
577	16441	12004
578	16465	11972
579	16486	11938
580	16514	11909
581	16540	11879
582	16565	11848
583	16598	11823
584	16629	11797
585	16651	11764
586	16678	11734
587	16710	11708
588	16738	11679
589	16768	11652
590	16795	11623
591	16821	11593
592	16854	11568
593	16878	11536
594	16900	11503
595	16927	11474
596	16958	11447
597	16989	11421
598	17019	11393
599	17057	11371
600	17085	11342
601	17113	11314
602	17144	11287
603	17178	11262
604	17207	11234
605	17233	11204
606	17257	11173
607	17285	11144
608	17315	11116
609	17341	11087
610	17368	11057
611	17394	11028
612	17417	10996
613	17444	10967
614	17476	10940
615	17497	10907
616	17523	10877
617	17551	10849
618	17579	10820
619	17603	10789
620	17629	10759
621	17651	10727
622	17674	10695
623	17698	10664
624	17722	10633
625	17748	10603
626	17771	10572
627	17800	10543
628	17830	10517
629	17850	10483
630	17883	10457
631	17908	10427
632	17934	10398
633	17961	10368
634	17994	10343
635	18023	10315
636	18046	10284
637	18075	10255
638	18100	10225
639	18134	10200
640	18165	10173
641	18196	10146
642	18223	10117
643	18253	10090
644	18284	10063
645	18313	10035
646	18339	10005
647	18362	9974
648	18387	9944
649	18416	9916
650	18444	9887
651	18474	9860
652	18504	9832
653	18526	9801
654	18553	9772
655	18576	9741
656	18595	9708
657	18621	9678
658	18647	9649
659	18666	9616
660	18693	9587
661	18728	9562
662	18767	9539
663	18795	9511
664	18818	9480
665	18846	9451
666	18877	9424
667	18905	9396
668	18936	9369
669	18960	9338
670	18986	9309
671	19014	9280
672	19037	9249
673	19066	9222
674	19100	9196
675	19132	9169
676	19154	9138
677	19182	9110
678	19209	9081
679	19235	9052
680	19257	9020
681	19284	8991
682	19315	8964
683	19350	8939
684	19376	8910
685	19405	8882
686	19431	8852
687	19453	8821
688	19480	8793
689	19512	8766
690	19539	8737
691	19563	8707
692	19593	8680
693	19618	8650
694	19641	8619
695	19682	8596
696	19701	8564
697	19733	8538
698	19761	8509
699	19786	8479
700	19812	8450
701	19838	8421
702	19867	8393
703	19894	8364
704	19929	8339
705	19957	8310
706	19981	8281
707	20010	8253
708	20040	8225
709	20065	8195
710	20093	8167
711	20122	8139
712	20149	8110
713	20172	8080
714	20202	8052
715	20229	8023
716	20256	7995
717	20287	7968
718	20311	7938
719	20336	7908
720	20359	7878
721	20382	7847
722	20407	7818
723	20429	7788
724	20454	7758
725	20483	7730
726	20506	7700
727	20534	7672
728	20555	7641
729	20582	7612
730	20604	7582
731	20633	7554
732	20656	7524
733	20686	7496
734	20710	7467
735	20733	7436
736	20759	7408
737	20787	7379
738	20813	7351
739	20836	7320
740	20863	7292
741	20888	7263
742	20914	7234
743	20944	7206
744	20972	7178
745	21006	7152
746	21033	7123
747	21055	7093
748	21080	7064
749	21109	7036
750	21135	7007
751	21158	6977
752	21180	6947
753	21206	6918
754	21228	6888
755	21254	6859
756	21280	6831
757	21306	6802
758	21332	6773
759	21359	6745
760	21389	6717
761	21414	6688
762	21437	6658
763	21458	6628
764	21480	6598
765	21504	6569
766	21528	6540
767	21555	6511
768	21582	6483
769	21608	6454
770	21630	6424
771	21655	6395
772	21677	6365
773	21701	6336
774	21722	6306
775	21750	6278
776	21773	6248
777	21791	6218
778	21813	6188
779	21833	6158
780	21856	6128
781	21881	6100
782	21906	6071
783	21926	6040
784	21947	6011
785	21974	5982
786	21992	5952
787	22016	5923
788	22039	5893
789	22067	5866
790	22093	5837
791	22123	5810
792	22141	5779
793	22160	5749
794	22184	5720
795	22206	5691
796	22223	5660
797	22243	5630
798	22266	5601
799	22285	5571
800	22305	5541
801	22324	5511
802	22341	5480
803	22358	5450
804	22375	5420
805	22394	5390
806	22414	5360
807	22430	5329
808	22454	5301
809	22471	5271
810	22488	5240
811	22504	5210
812	22525	5181
813	22543	5151
814	22562	5121
815	22581	5091
816	22602	5062
817	22625	5034
818	22650	5005
819	22670	4976
820	22691	4947
821	22716	4919
822	22738	4890
823	22759	4861
824	22780	4832
825	22799	4802
826	22817	4773
827	22834	4743
828	22852	4713
829	22873	4685
830	22890	4655
831	22908	4625
832	22927	4596
833	22942	4566
834	22957	4536
835	22971	4506
836	22989	4477
837	23006	4447
838	23026	4418
839	23043	4389
840	23061	4360
841	23080	4330
842	23100	4302
843	23117	4272
844	23134	4243
845	23151	4214
846	23166	4184
847	23183	4155
848	23203	4126
849	23223	4098
850	23238	4068
851	23255	4039
852	23274	4010
853	23291	3981
854	23310	3953
855	23326	3924
856	23340	3894
857	23358	3865
858	23372	3836
859	23393	3808
860	23408	3779
861	23424	3750
862	23437	3720
863	23452	3691
864	23465	3662
865	23477	3632
866	23491	3603
867	23505	3574
868	23518	3545
869	23535	3516
870	23547	3487
871	23561	3458
872	23573	3429
873	23585	3400
874	23596	3370
875	23608	3341
876	23621	3312
877	23632	3283
878	23644	3254
879	23655	3225
880	23667	3196
881	23677	3167
882	23689	3138
883	23702	3110
884	23714	3081
885	23725	3052
886	23736	3023
887	23746	2995
888	23756	2966
889	23767	2937
890	23778	2908
891	23788	2880
892	23798	2851
893	23808	2822
894	23819	2794
895	23829	2765
896	23839	2737
897	23849	2708
898	23859	2680
899	23869	2652
900	23879	2623
901	23888	2595
902	23897	2567
903	23906	2538
904	23915	2510
905	23925	2482
906	23934	2454
907	23943	2426
908	23953	2397
909	23962	2369
910	23971	2341
911	23981	2313
912	23989	2286
913	23999	2258
914	24008	2230
915	24017	2202
916	24026	2174
917	24034	2146
918	24043	2119
919	24053	2091
920	24062	2064
921	24073	2036
922	24083	2009
923	24093	1981
924	24103	1954
925	24112	1926
926	24122	1899
927	24131	1872
928	24141	1845
929	24150	1817
930	24159	1790
931	24168	1763
932	24177	1736
933	24186	1709
934	24195	1682
935	24204	1655
936	24213	1628
937	24222	1601
938	24231	1574
939	24240	1547
940	24249	1520
941	24258	1493
942	24267	1466
943	24277	1440
944	24286	1413
945	24296	1386
946	24305	1360
947	24314	1333
948	24324	1307
949	24333	1280
950	24342	1254
951	24351	1227
952	24360	1201
953	24369	1175
954	24379	1148
955	24388	1122
956	24397	1096
957	24406	1070
958	24415	1043
959	24424	1017
960	24433	991
961	24442	965
962	24451	939
963	24460	913
964	24470	887
965	24480	861
966	24489	835
967	24498	809
968	24508	784
969	24517	758
970	24526	732
971	24536	706
972	24544	681
973	24553	655
974	24562	629
975	24571	604
976	24580	578
977	24589	553
978	24598	527
979	24607	502
980	24616	476
981	24625	451
982	24634	426
983	24643	400
984	24652	375
985	24661	350
986	24670	324
987	24679	299
988	24688	274
989	24697	249
990	24707	224
991	24716	199
992	24725	174
993	24735	149
994	24743	124
995	24753	99
996	24763	74
997	24772	49
998	24781	24
999	24791	0
